# everyayah.com/data/ recitation folders as surveyed on 2026-08-25 through the site's own directory listings.
# folder|ayah files seen|approx MiB of ayah files|approx MiB of 000_versebyverse.zip|subfolders|other files (name=size)
AbdulSamad_64kbps_QuranExplorer.Com|6236|1628|1024|PageMp3s|.006033.mp3.GAqqCp=0 bytes+000_allfiles.zip=1 GB+000_checksum.md5=274 KB+000_md5_verification_results.txt=92 KB+000_readme.txt=184 bytes+000_versebyverse.zip=1 GB+audhubillah.mp3=106 KB+bismillah.mp3=26 KB
Abdul_Basit_Mujawwad_128kbps|6349|3048|3072|PageMp3s+glitches+merged+new+zips|000_checksum.md5=279 KB+000_checksum_results.txt=93 KB+000_test_112001.mp3=74 KB+000_test_112003.mp3=80 KB+000_test_112004.mp3=99 KB+000_versebyverse.zip=3 GB
Abdul_Basit_Murattal_192kbps|6350|2478|2048|PageMp3s+merged+zips|000_checksum.md5=279 KB+000_versebyverse.zip=2 GB
Abdul_Basit_Murattal_64kbps|6252|859|863|PageMp3s+merged+zips|000_checksum.md5=445 KB+000_versebyverse.zip=863 MB+bismillah.mp3=34 KB
Abdullaah_3awwaad_Al-Juhaynee_128kbps|6350|1122|1024|PageMp3s+merged+zips|000_checksum.md5=279 KB+000_test_001001.mp3=98 KB+000_test_001002.mp3=158 KB+000_test_001003.mp3=135 KB+000_test_001004.mp3=114 KB+000_test_001005.mp3=180 KB+000_test_001006.mp3=147 KB+000_test_001007.mp3=391 KB+000_versebyverse.zip=1 GB
Abdullah_Basfar_192kbps|6314|2388|2048|005+PageMp3s+merged+mistakes+zips|000_checksum_results.txt=2 KB+000_versebyverse.zip=2 GB
Abdullah_Basfar_32kbps|6236|431|434|PageMp3s+merged+zips|000_checksum.md5=274 KB+000_versebyverse.zip=434 MB
Abdullah_Basfar_64kbps|6313|820|825|PageMp3s+merged+mistakes+zips|000_checksum.md5=419 KB+000_versebyverse.zip=825 MB+audhubillah.mp3=56 KB+bismillah.mp3=97 KB
Abdullah_Matroud_128kbps|6350|1539|1024|PageMp3s+merged+zips|000_checksum.md5=279 KB+000_versebyverse.zip=1 GB
Abdurrahmaan_As-Sudais_192kbps|6349|1722|1024|PageMp3s+merged+zips|000_checksum.md5=274 KB+000_md5_verification_results.txt=91 KB+000_versebyverse.zip=1 GB
Abdurrahmaan_As-Sudais_64kbps|6349|579|583|PageMp3s+zips|000_checksum.md5=465 KB+000_versebyverse.zip=583 MB
Abu Bakr Ash-Shaatree_128kbps|6350|1353|1024|PageMp3s+mistakes+zips|000_checksum.md5=279 KB+000_unverified_checksum.md5=274 KB+000_versebyverse.zip=1 GB+Audhubillah_Bismillah.mp3=225 KB+_notes.txt=380 bytes+audhubillah.mp3=123 KB+bismillah.mp3=101 KB+md5.sum=58 KB
Abu_Bakr_Ash-Shaatree_128kbps|6350|1353|1024|PageMp3s+mistakes+zips|000_checksum.md5=279 KB+000_unverified_checksum.md5=274 KB+000_versebyverse.zip=1 GB+Audhubillah_Bismillah.mp3=225 KB+_notes.txt=380 bytes+audhubillah.mp3=123 KB+bismillah.mp3=101 KB+md5.sum=58 KB
